ID,rodata,data,hora,mandante,visitante,mandante_Placar,visitante_Placar,ELO_Rating_mandante,ELO_Rating_visitante,Chutes_mandante,Chutes_visitante,Chutes_no_alvo_mandante,Chutes_no_alvo_visitante,Posse_mandante,Posse_visitante,Passes_mandante,Passes_visitante,Precisão_passes_mandante,Precisão_passes_visitante,Faltas_mandante,Faltas_visitante,Cartão_amarelo_mandante,Cartão_amarelo_visitante,Cartão_vermelho_mandante,Cartão_vermelho_visitante,Impedimentos_mandante,Impedimentos_visitante,Escanteios_mandante,Escanteios_visitante,Vencedor
5110,13,12/07/2015,11:01,Sao Paulo,Coritiba,3,1,"1112,92","1027,83",16,10,9,2,53%,47%,447,397,80%,80%,18,14,1,3,0,0,5,3,2,10,Sao Paulo
5112,13,12/07/2015,16:00,Flamengo,Corinthians,0,3,"1019,04","1193,14",16,8,6,4,60%,40%,535,394,80%,80%,7,15,0,2,0,0,7,1,13,1,Corinthians
5111,13,12/07/2015,16:01,Joinville,Internacional,0,2,"947,02","1107,7",8,7,2,3,63%,37%,456,283,80%,80%,17,19,4,3,0,0,4,3,6,2,Internacional
5113,13,12/07/2015,16:01,Athletico-PR,Fluminense,1,2,"1040,64","1011,41",23,9,7,6,59%,41%,456,322,80%,80%,12,11,1,2,0,0,1,2,10,2,Fluminense
5114,13,12/07/2015,16:01,Cruzeiro,Goias,1,0,"1120,94","971,26",22,3,7,0,64%,36%,537,315,80%,80%,17,13,2,1,0,0,0,1,11,2,Cruzeiro
5115,13,12/07/2015,18:31,Sport,Palmeiras,2,2,"1081,34","1009,8",11,12,8,5,59%,41%,506,351,80%,80%,10,17,2,1,0,0,5,3,6,4,Empate
5116,13,12/07/2015,18:31,Avai,Chapecoense,2,1,"976,72","1011,92",14,13,7,3,39%,61%,280,433,80%,80%,15,14,4,2,0,0,4,1,6,7,Avai
5117,14,18/07/2015,18:28,Internacional,Goias,2,1,"1107,7","971,26",8,10,3,2,63%,37%,540,315,80%,80%,18,12,1,1,0,0,1,4,6,5,Internacional
5118,14,18/07/2015,18:29,Flamengo,Gremio,1,0,"1019,04","1128,2",21,6,7,1,39%,61%,323,506,80%,80%,12,11,1,5,0,0,1,1,7,4,Flamengo
5119,14,18/07/2015,21:05,Corinthians,Atletico-MG,1,0,"1193,14","1118,91",8,16,3,7,44%,56%,392,467,80%,80%,12,15,1,1,0,0,4,2,2,6,Corinthians
5120,14,19/07/2015,11:02,Athletico-PR,Chapecoense,1,0,"1040,64","1011,92",20,10,6,2,56%,44%,439,350,80%,80%,14,13,2,3,0,0,2,4,7,1,Athletico-PR
5121,14,19/07/2015,16:01,Figueirense,Coritiba,0,0,"1001,41","1027,83",9,12,3,3,41%,59%,356,523,80%,80%,20,18,1,2,0,0,2,0,2,2,Empate
5123,14,19/07/2015,16:01,Fluminense,Vasco,1,2,"1011,41","1024,31",16,8,4,6,58%,42%,375,287,80%,80%,15,17,2,6,0,0,0,2,9,2,Vasco
5124,14,19/07/2015,16:01,Palmeiras,Santos,1,0,"1009,8","1079,35",9,14,4,2,44%,56%,301,374,80%,80%,24,10,3,3,0,0,3,3,2,5,Palmeiras
5122,14,19/07/2015,16:02,Sport,Sao Paulo,2,0,"1081,34","1112,92",15,7,6,0,46%,54%,408,468,80%,80%,9,12,1,0,0,2,4,8,2,3,Sport
5125,14,19/07/2015,18:31,Cruzeiro,Avai,1,1,"1120,94","976,72",20,9,4,3,67%,33%,554,263,80%,80%,7,16,1,3,0,0,1,0,6,3,Empate
